CustomerID,Gender,Age,AnnualIncome,SpendingScore,TransactionsPerMonth,RecencyDays,City
65,Male,61,22812,84,18,349,Mumbai
66,Female,18,115981,30,8,290,Delhi
67,Female,20,131176,59,2,176,Hyderabad
68,Male,63,26562,28,20,127,Bengaluru
69,Female,43,92549,47,5,198,Bengaluru
70,Female,48,148866,23,30,363,Bengaluru
71,Female,25,148160,83,18,204,Mumbai
72,Female,60,90713,57,23,45,Bengaluru
73,Male,63,40469,89,2,349,Bengaluru
74,Female,25,69535,88,37,164,Hyderabad
75,Male,52,81300,1,32,98,Chennai
76,Female,56,137538,92,1,307,Delhi
77,Female,45,116765,29,39,243,Kolkata
78,Female,68,114637,50,1,143,Mumbai
79,Male,21,113523,64,31,137,Delhi
80,Female,33,108641,99,39,58,Chennai
81,Male,30,109003,81,8,269,Delhi
82,Female,37,102969,75,3,169,Mumbai
83,Male,68,38217,37,12,108,Hyderabad
84,Female,22,116844,61,34,44,Delhi
85,Male,54,28989,7,25,86,Chennai
86,Male,37,57235,90,36,286,Mumbai
87,Female,41,104895,87,7,77,Chennai
88,Male,53,90691,64,15,242,Kolkata
89,Female,51,76850,18,21,224,Delhi
90,Female,62,148789,29,25,314,Mumbai
91,Female,65,142688,98,38,339,Delhi
92,Female,51,132440,60,37,163,Kolkata
93,Female,36,70442,54,16,122,Bengaluru
94,Female,34,93497,72,1,177,Mumbai
95,Female,22,43983,21,37,187,Kolkata
96,Female,42,27186,21,14,244,Delhi
97,Female,35,27506,58,34,221,Mumbai
98,Female,67,136875,49,2,135,Hyderabad
99,Female,25,61026,36,31,35,Kolkata
100,Male,44,66070,17,19,167,Bengaluru
101,Male,32,68951,80,19,262,Chennai
102,Female,62,115761,53,23,334,Delhi
103,Female,30,144272,15,30,220,Chennai
104,Female,33,149284,79,17,65,Delhi
105,Female,39,27791,40,2,110,Mumbai
106,Female,37,81335,81,11,341,Chennai
107,Female,30,113133,51,14,9,Bengaluru
108,Female,37,92306,65,29,182,Delhi
109,Female,19,29893,13,19,43,Chennai
110,Male,52,45154,38,28,120,Delhi
111,Female,64,109854,74,1,306,Hyderabad
112,Male,36,70757,97,5,113,Hyderabad
113,Female,62,81387,26,34,319,Chennai
114,Female,54,60755,76,14,254,Hyderabad
115,Male,23,125469,83,19,231,Bengaluru
116,Female,31,33514,15,24,136,Chennai
117,Male,21,51358,5,17,168,Mumbai
118,Female,39,107974,2,2,179,Chennai
119,Female,68,144858,78,31,254,Mumbai
120,Male,56,122809,93,17,47,Hyderabad
121,Female,53,112992,65,8,142,Chennai
122,Male,51,43631,77,17,281,Bengaluru
123,Female,44,25807,60,38,85,Hyderabad
124,Male,24,91792,96,26,93,Kolkata
125,Male,20,145550,98,7,159,Hyderabad
126,Female,64,100692,56,24,52,Hyderabad
127,Female,50,31908,78,30,260,Mumbai
128,Male,19,44435,38,26,118,Mumbai
129,Female,59,147815,57,30,46,Bengaluru
130,Female,33,89820,51,35,157,Mumbai
131,Female,42,81716,41,2,193,Kolkata
132,Male,32,50432,79,4,96,Delhi
133,Male,41,99974,70,5,257,Delhi
134,Male,32,120458,93,2,324,Chennai
135,Male,48,60510,83,31,187,Kolkata
136,Male,31,34227,52,27,232,Kolkata
137,Male,31,99801,1,24,254,Kolkata
138,Male,23,104724,85,4,78,Hyderabad
139,Male,31,38604,18,28,180,Delhi
140,Male,34,114101,27,5,248,Mumbai
141,Female,35,118124,92,27,334,Bengaluru
142,Male,37,127494,72,5,246,Mumbai
143,Female,68,117610,95,5,130,Hyderabad
144,Female,34,102641,76,9,21,Hyderabad
145,Female,33,45790,42,27,285,Delhi
146,Male,57,144573,6,4,76,Delhi
147,Male,56,108894,90,24,338,Mumbai
148,Male,69,50944,80,27,160,Chennai
149,Male,49,42187,94,1,169,Mumbai
150,Female,61,72546,83,32,278,Kolkata
151,Male,26,24025,82,16,140,Delhi
152,Male,44,113691,24,23,313,Kolkata
153,Male,63,44512,45,28,8,Chennai
154,Male,69,35907,84,20,156,Kolkata
155,Male,50,100005,71,17,313,Chennai
156,Female,27,57924,7,36,181,Delhi
157,Male,34,67196,16,8,214,Mumbai
158,Female,66,34410,58,18,204,Bengaluru
159,Male,66,63763,57,13,241,Delhi
160,Female,53,79574,42,9,17,Mumbai
161,Male,34,123116,14,37,277,Bengaluru
162,Male,35,28650,56,30,51,Kolkata
163,Female,69,68826,12,28,212,Hyderabad
164,Female,40,46277,93,18,54,Hyderabad
165,Female,51,77970,15,20,316,Hyderabad
166,Male,25,22456,8,36,44,Bengaluru
167,Female,30,36590,58,19,333,Chennai
168,Male,40,47892,53,5,233,Hyderabad
169,Male,37,37740,9,34,29,Hyderabad
170,Female,39,65728,46,17,171,Chennai
171,Female,64,31788,92,28,61,Bengaluru
172,Male,69,109381,91,36,61,Bengaluru
173,Male,40,92692,7,38,328,Chennai
174,Female,58,132569,44,30,20,Delhi
175,Female,52,28151,14,18,56,Chennai
176,Female,20,46515,75,6,176,Mumbai
177,Male,51,30987,96,26,330,Mumbai
178,Male,50,98096,92,15,249,Delhi
179,Male,63,75674,6,1,204,Kolkata
180,Male,34,88209,35,17,184,Delhi
181,Male,62,67767,70,31,46,Mumbai
182,Male,36,135737,61,2,45,Chennai
183,Female,47,92359,24,36,42,Bengaluru
184,Male,40,137279,73,35,8,Mumbai
185,Male,32,59644,2,27,340,Chennai
186,Male,31,113901,78,3,14,Kolkata
187,Female,19,138692,51,20,229,Mumbai
188,Male,56,58741,31,8,282,Bengaluru
189,Male,66,85121,94,29,102,Kolkata
190,Female,35,93818,27,8,297,Mumbai
191,Male,23,61435,31,27,237,Mumbai
192,Male,49,28056,70,26,29,Bengaluru
193,Male,38,120350,43,39,191,Hyderabad
194,Male,57,147701,82,10,269,Mumbai
195,Male,45,107227,52,30,354,Mumbai
196,Female,44,126040,14,33,303,Mumbai
197,Female,19,121994,59,36,216,Delhi
198,Female,50,114137,20,20,248,Delhi
199,Male,33,72418,52,4,277,Bengaluru
200,Male,56,106549,75,23,351,Chennai
201,Male,39,55513,40,29,12,Kolkata
202,Female,60,108943,68,32,106,Delhi
203,Male,64,44660,44,37,24,Bengaluru
204,Male,30,22639,6,37,277,Delhi
205,Female,19,106856,87,26,4,Kolkata
206,Male,31,85612,57,5,281,Chennai
207,Female,55,92009,58,24,8,Delhi
208,Female,58,30622,72,2,164,Hyderabad
209,Female,45,138192,30,15,290,Chennai
210,Male,24,38808,52,8,114,Chennai
211,Male,35,75636,11,37,50,Delhi
212,Male,58,90832,47,37,238,Kolkata
213,Male,53,42951,5,14,347,Delhi
214,Male,58,108006,3,5,284,Mumbai
215,Male,53,136909,15,9,62,Mumbai
216,Male,61,85941,2,22,349,Chennai
217,Female,21,136817,2,30,127,Mumbai
218,Male,47,65076,72,33,221,Mumbai
219,Female,41,141522,54,38,202,Mumbai
220,Male,37,35345,46,37,300,Kolkata
221,Male,63,20397,94,38,160,Hyderabad
222,Male,48,34665,41,7,8,Mumbai
223,Female,41,34560,69,3,125,Kolkata
224,Female,24,46376,30,32,90,Mumbai
225,Female,43,39857,44,36,244,Hyderabad
226,Female,30,84268,10,19,195,Delhi
227,Male,25,118042,97,31,106,Chennai
228,Female,22,128304,88,30,206,Bengaluru
229,Male,61,123293,83,37,71,Delhi
230,Male,30,40310,30,25,357,Hyderabad
231,Female,46,38328,89,13,32,Hyderabad
232,Female,37,61397,75,12,166,Chennai
233,Female,31,58159,49,9,212,Mumbai
234,Female,49,140087,35,9,10,Bengaluru
235,Female,67,118526,65,27,335,Bengaluru
236,Female,44,70762,17,31,198,Bengaluru
237,Female,42,93366,31,6,247,Delhi
238,Female,69,79304,70,29,217,Hyderabad
239,Male,21,68998,77,30,129,Bengaluru
240,Female,38,139292,52,38,198,Kolkata
241,Female,35,84853,26,11,333,Bengaluru
242,Male,56,122304,5,6,75,Mumbai
243,Female,32,39048,14,39,90,Delhi
244,Male,55,70217,51,31,281,Kolkata
245,Male,65,66255,15,35,52,Kolkata
246,Female,69,107284,12,12,308,Hyderabad
247,Male,41,78620,46,6,12,Chennai
248,Male,25,90929,64,26,46,Mumbai
249,Male,45,141790,72,37,137,Mumbai
250,Male,38,43885,59,32,301,Mumbai
251,Female,33,86139,95,4,292,Bengaluru
252,Male,33,139818,26,3,137,Chennai
253,Female,52,91831,29,2,97,Delhi
254,Male,34,61148,4,20,162,Hyderabad
255,Male,26,27103,50,19,88,Delhi
256,Male,52,45251,92,39,53,Kolkata
257,Male,69,135325,25,12,109,Mumbai
258,Female,46,34546,40,36,45,Chennai
259,Female,56,144876,32,28,353,Delhi
260,Male,35,35456,75,9,161,Delhi
261,Male,29,38228,37,11,285,Mumbai
262,Female,36,100210,10,30,304,Kolkata
263,Male,65,20046,38,2,82,Kolkata
264,Male,39,86355,61,38,315,Mumbai
265,Male,66,56575,27,38,318,Delhi
266,Female,69,104942,81,33,255,Kolkata
267,Female,32,21080,7,7,291,Delhi
268,Female,18,88682,73,21,315,Bengaluru
269,Male,19,135965,99,12,187,Chennai
270,Male,25,97462,9,21,89,Mumbai
271,Female,39,35930,59,23,25,Hyderabad
272,Female,42,133476,36,6,53,Hyderabad
273,Female,19,100823,30,14,78,Mumbai
274,Female,68,59509,95,32,114,Kolkata
275,Male,26,120521,19,13,348,Chennai
276,Female,26,139953,41,27,312,Kolkata
277,Male,30,88422,55,11,258,Hyderabad
278,Female,23,98880,87,32,145,Bengaluru
279,Male,47,107554,84,3,196,Mumbai
280,Female,32,61755,6,2,304,Hyderabad
281,Female,68,72480,88,30,348,Hyderabad
282,Female,32,27293,22,2,102,Kolkata
283,Female,67,88542,70,39,290,Mumbai
284,Male,24,80528,24,29,352,Chennai
285,Female,28,125262,62,22,169,Kolkata
286,Male,57,44356,42,25,95,Mumbai
287,Male,55,128885,22,19,262,Delhi
288,Male,57,56911,82,16,262,Hyderabad
289,Male,19,34699,16,17,28,Delhi
290,Female,68,48434,13,27,136,Chennai
291,Male,65,74669,37,19,129,Delhi
292,Male,56,37602,52,30,336,Chennai
293,Male,27,60786,24,14,274,Mumbai
294,Female,61,29952,83,32,222,Bengaluru
295,Female,34,61684,84,23,336,Bengaluru
296,Female,24,136032,91,36,123,Mumbai
297,Female,57,50489,17,10,92,Kolkata
298,Male,56,52905,16,38,11,Hyderabad
299,Male,21,73602,1,29,6,Chennai
300,Female,52,66924,85,11,228,Delhi
301,Male,68,33381,91,38,22,Bengaluru
302,Male,64,139594,1,15,215,Delhi
303,Male,53,99429,30,32,284,Delhi
304,Female,48,48130,84,27,115,Delhi
305,Female,42,50415,24,38,214,Kolkata
306,Male,58,69128,46,1,141,Hyderabad
307,Female,30,104679,2,14,179,Bengaluru
308,Female,35,118362,15,3,1,Delhi
309,Female,38,135458,29,30,29,Delhi
310,Female,65,20388,99,31,298,Kolkata
311,Female,18,97652,62,1,285,Bengaluru
312,Male,53,39806,13,14,350,Kolkata
313,Female,67,84333,83,36,316,Delhi
314,Male,25,125316,65,36,105,Chennai
315,Male,69,130930,45,15,162,Bengaluru
316,Female,65,24852,47,38,40,Delhi
317,Male,38,135283,16,25,349,Hyderabad
318,Male,60,28627,3,14,222,Kolkata
319,Male,69,78817,70,24,52,Chennai
320,Female,38,49048,95,2,64,Kolkata
321,Female,44,120286,5,34,4,Mumbai
322,Male,36,112550,26,23,18,Hyderabad
323,Female,40,133120,92,8,342,Mumbai
324,Female,68,96596,15,5,10,Mumbai
325,Female,67,130705,73,29,270,Delhi
326,Female,68,146697,55,33,351,Chennai
327,Male,60,78117,22,20,99,Kolkata
328,Male,52,144806,37,16,302,Delhi
329,Female,57,128715,85,37,194,Hyderabad
330,Female,69,28209,29,37,317,Kolkata
331,Male,68,73482,26,24,34,Mumbai
332,Male,59,58197,70,29,349,Delhi
333,Female,65,97694,11,35,326,Hyderabad
334,Male,22,38076,20,9,65,Hyderabad
335,Female,69,137458,84,22,163,Kolkata
336,Female,58,89912,91,20,176,Mumbai
337,Male,25,139614,70,4,47,Kolkata
338,Male,28,105187,33,36,218,Kolkata
339,Female,33,78482,30,12,221,Kolkata
340,Female,56,109484,50,23,11,Delhi
341,Male,64,38079,34,39,190,Chennai
342,Female,41,33978,5,8,86,Hyderabad
343,Male,38,70738,80,10,33,Delhi
344,Female,69,32705,12,23,95,Kolkata
345,Male,40,46907,76,29,330,Chennai
346,Male,66,73832,75,32,181,Mumbai
347,Male,55,107367,52,14,284,Kolkata
348,Female,64,74612,51,16,23,Chennai
349,Female,25,129165,21,39,49,Mumbai
350,Male,24,93501,71,17,332,Kolkata
351,Female,19,136956,58,20,221,Hyderabad
352,Male,47,30248,98,12,2,Bengaluru
353,Male,30,66988,64,9,77,Bengaluru
354,Female,40,109169,93,8,356,Hyderabad
355,Female,46,115039,6,37,111,Chennai
356,Male,55,27461,98,21,154,Bengaluru
357,Female,54,46998,49,32,145,Kolkata
358,Female,37,32821,72,37,299,Mumbai
359,Male,50,39870,37,18,97,Hyderabad
360,Male,46,33410,10,29,315,Delhi
361,Female,67,107721,80,7,214,Bengaluru
362,Male,32,39133,66,37,322,Chennai
363,Male,40,109705,56,6,74,Hyderabad
364,Female,59,43359,83,20,295,Kolkata
365,Male,20,81385,71,9,26,Bengaluru
366,Male,54,47400,66,9,222,Bengaluru
367,Female,46,54173,45,8,203,Hyderabad
368,Female,62,144766,87,17,278,Delhi
369,Male,25,31179,95,24,344,Hyderabad
370,Male,39,121879,68,23,29,Delhi
371,Female,46,81886,64,33,115,Hyderabad
372,Female,19,55495,16,22,266,Mumbai
373,Female,58,26487,10,22,110,Mumbai
374,Female,66,34760,21,27,153,Hyderabad
375,Male,67,147600,92,2,118,Kolkata
376,Female,62,111975,12,31,123,Delhi
377,Female,18,112465,13,13,205,Kolkata
378,Male,61,91827,81,2,322,Bengaluru
379,Female,37,113008,82,7,251,Hyderabad
380,Male,69,49403,10,11,134,Kolkata
381,Female,38,88037,92,26,252,Kolkata
382,Female,54,135625,13,21,1,Bengaluru
383,Female,25,128576,34,15,284,Hyderabad
384,Male,44,21755,59,16,214,Kolkata
385,Male,64,148500,49,9,124,Chennai
386,Female,52,56158,6,21,197,Delhi
387,Male,23,91352,12,6,20,Chennai
388,Male,62,103136,29,1,332,Kolkata
389,Male,61,52616,77,31,347,Kolkata
390,Male,36,135891,26,5,314,Chennai
391,Male,35,87426,68,37,169,Kolkata
392,Male,18,96759,79,26,98,Kolkata
393,Female,42,132133,16,1,146,Delhi
394,Female,44,44966,53,1,162,Hyderabad
395,Male,24,27688,19,29,66,Delhi
396,Female,61,124804,47,22,245,Delhi
397,Female,59,59484,90,38,359,Mumbai
398,Female,46,79855,32,19,321,Mumbai
399,Female,48,47553,70,28,126,Kolkata
400,Male,61,89282,70,5,220,Bengaluru
401,Female,60,77442,61,21,361,Delhi
402,Female,53,38579,5,22,283,Chennai
403,Male,36,139353,59,20,30,Chennai
404,Male,23,33014,2,12,86,Mumbai
405,Female,42,68443,2,6,332,Kolkata
406,Female,48,61961,3,29,256,Delhi
407,Female,26,76501,70,35,225,Hyderabad
408,Female,37,78914,95,11,297,Kolkata
409,Female,27,139086,43,33,240,Mumbai
410,Female,54,56397,5,25,257,Mumbai
411,Male,44,93302,50,14,133,Kolkata
412,Female,30,91683,10,29,133,Chennai
413,Female,58,133417,27,13,71,Kolkata
414,Male,19,132746,24,15,340,Kolkata
415,Male,67,67178,22,8,282,Hyderabad
416,Male,38,21063,89,33,305,Hyderabad
417,Male,50,94366,3,11,326,Chennai
418,Female,41,129238,16,15,90,Chennai
419,Female,61,29334,30,21,317,Chennai
420,Female,59,95848,43,36,259,Hyderabad
421,Female,51,45127,4,6,167,Hyderabad
422,Female,26,56043,40,25,78,Mumbai
423,Female,19,86512,16,1,177,Bengaluru
424,Male,47,130687,72,33,270,Mumbai
425,Female,39,146230,88,39,20,Delhi
426,Male,63,129710,16,32,137,Kolkata
427,Male,28,97275,91,2,191,Kolkata
428,Female,60,145811,66,25,262,Bengaluru
429,Male,34,24069,55,33,102,Hyderabad
430,Female,53,148167,20,38,105,Kolkata
431,Male,30,146865,51,11,299,Mumbai
432,Female,24,35604,84,19,320,Hyderabad
433,Male,33,34612,84,25,97,Bengaluru
434,Female,50,69102,83,28,300,Kolkata
435,Female,62,59170,57,10,5,Hyderabad
436,Female,18,65101,51,31,141,Kolkata
437,Female,28,85881,18,16,143,Mumbai
438,Female,23,57710,77,18,237,Bengaluru
439,Male,37,104862,81,22,184,Kolkata
440,Male,52,142092,59,35,201,Mumbai
441,Male,61,135764,97,12,346,Kolkata
442,Female,54,29363,28,28,30,Mumbai
443,Male,58,23770,69,9,312,Hyderabad
444,Female,43,140340,28,30,124,Bengaluru
445,Female,29,64121,89,18,324,Hyderabad
446,Male,47,93960,84,24,125,Kolkata
447,Male,45,31990,85,19,303,Bengaluru
448,Female,44,93584,13,14,284,Delhi
449,Male,59,114258,6,2,293,Delhi
450,Female,36,147640,29,11,330,Bengaluru
451,Female,22,130403,9,26,73,Hyderabad
452,Female,22,64659,29,8,251,Chennai
453,Female,58,52137,38,3,127,Bengaluru
454,Female,44,35573,65,15,292,Mumbai
455,Male,45,36834,56,13,222,Delhi
456,Male,43,29554,30,16,331,Bengaluru
457,Female,44,118654,96,22,153,Bengaluru
458,Female,69,112808,59,33,331,Bengaluru
459,Male,66,127804,87,2,297,Mumbai
460,Male,59,122308,58,29,183,Hyderabad
461,Female,38,96653,10,34,69,Chennai
462,Male,18,106598,21,16,219,Mumbai
463,Female,45,102164,56,14,57,Chennai
464,Male,65,73797,26,39,3,Delhi
465,Female,32,33015,15,5,304,Chennai
466,Male,34,24734,81,18,59,Chennai
467,Female,43,131175,35,26,292,Delhi
468,Male,37,79617,89,10,183,Mumbai
469,Male,42,100698,15,6,79,Mumbai
470,Female,30,69592,97,14,333,Delhi
471,Male,50,130041,75,2,169,Mumbai
472,Female,42,95195,88,27,74,Hyderabad
473,Male,25,140603,6,9,59,Kolkata
474,Female,22,102331,28,13,162,Chennai
475,Male,23,53581,63,21,30,Mumbai
476,Female,40,48917,29,2,89,Chennai
477,Male,69,139366,48,3,318,Kolkata
478,Female,47,103650,63,13,70,Kolkata
479,Male,31,26643,58,21,311,Mumbai
480,Female,40,33269,21,33,357,Chennai
481,Female,28,38358,76,20,100,Delhi
482,Female,48,118853,22,36,96,Delhi
483,Male,23,132756,27,18,278,Delhi
484,Female,28,118029,85,25,353,Hyderabad
485,Male,30,148363,79,38,22,Hyderabad
486,Female,29,103857,57,25,356,Delhi
487,Male,19,20203,82,38,82,Chennai
488,Female,52,147326,10,15,220,Delhi
489,Male,53,81758,22,17,279,Delhi
490,Male,34,101254,44,36,74,Bengaluru
491,Female,45,121892,84,29,66,Hyderabad
492,Male,45,76235,83,33,270,Hyderabad
493,Male,39,55304,28,32,147,Delhi
494,Female,55,42172,50,8,325,Delhi
495,Male,24,93834,51,13,250,Bengaluru
496,Male,32,105731,1,17,176,Bengaluru
497,Male,49,121005,34,21,96,Hyderabad
498,Female,28,64857,35,14,330,Hyderabad
499,Male,41,30411,90,25,133,Hyderabad
500,Female,20,27825,61,24,206,Hyderabad
501,Male,47,116774,30,33,234,Chennai
502,Male,23,58742,76,8,171,Delhi
503,Male,19,138624,78,28,331,Chennai
504,Female,31,89626,68,19,167,Mumbai
505,Male,58,78301,76,11,358,Hyderabad
506,Male,35,43340,88,10,315,Hyderabad
507,Female,68,47151,40,1,237,Delhi
508,Male,61,63327,95,5,238,Hyderabad
509,Female,48,29252,65,16,94,Hyderabad
510,Female,30,55314,37,20,180,Chennai
511,Male,43,89272,64,20,350,Mumbai
512,Female,61,67368,1,28,239,Chennai
513,Male,29,81110,15,5,203,Bengaluru
514,Female,35,148667,13,3,214,Hyderabad
515,Female,26,21672,29,30,266,Chennai
516,Male,66,149931,55,23,107,Delhi
517,Female,38,85937,45,34,339,Kolkata
518,Female,65,35322,4,28,271,Mumbai
519,Female,66,110713,64,1,316,Kolkata
520,Female,57,31191,15,27,35,Mumbai
521,Female,60,57081,48,34,35,Delhi
522,Male,41,34665,76,31,1,Delhi
523,Female,51,81625,56,32,47,Hyderabad
524,Male,25,129948,89,7,109,Mumbai
525,Female,61,75504,91,38,111,Delhi
526,Male,50,64594,70,34,245,Bengaluru
527,Male,40,77631,87,4,274,Mumbai
528,Female,30,69239,15,19,26,Delhi
529,Female,66,76298,39,22,316,Chennai
530,Female,31,134607,69,29,146,Delhi
531,Male,31,124583,87,34,319,Kolkata
532,Female,33,136893,79,34,41,Mumbai
533,Male,66,117049,89,3,210,Kolkata
534,Male,55,22967,60,21,43,Kolkata
535,Male,56,57018,94,38,224,Hyderabad
536,Female,43,72686,44,21,294,Bengaluru
537,Female,43,44795,43,17,250,Delhi
538,Male,18,78826,4,29,155,Mumbai
539,Male,49,88774,77,33,177,Delhi
540,Female,32,28513,50,39,312,Kolkata
541,Male,69,88274,39,26,177,Delhi
542,Female,38,90472,54,7,212,Mumbai
543,Male,35,148561,23,9,188,Chennai
544,Female,47,54604,60,18,355,Mumbai
545,Male,30,137247,80,1,87,Mumbai
546,Female,41,116342,35,11,312,Hyderabad
547,Male,47,87104,54,22,204,Delhi
548,Female,19,128818,58,32,117,Delhi
549,Female,36,116396,62,10,227,Mumbai
550,Male,64,85229,80,27,62,Kolkata
551,Male,61,66815,48,12,100,Chennai
552,Female,64,24720,7,30,170,Hyderabad
553,Male,42,60725,45,10,156,Chennai
554,Female,67,63923,13,12,37,Chennai
555,Male,31,94080,53,38,276,Hyderabad
556,Female,23,111140,93,21,35,Kolkata
557,Female,29,59293,39,27,327,Kolkata
558,Female,37,101619,84,6,354,Hyderabad
559,Female,40,93471,93,38,262,Chennai
560,Female,47,50029,18,8,19,Kolkata
561,Female,47,81914,22,37,362,Chennai
562,Male,55,46585,36,6,8,Chennai
563,Male,47,78271,53,34,272,Kolkata
564,Male,58,77373,72,22,24,Delhi
565,Female,47,43898,3,29,141,Delhi
566,Female,53,43449,62,9,119,Delhi
567,Female,66,26737,29,21,9,Delhi
568,Female,51,55308,73,32,168,Kolkata
569,Male,33,85494,8,8,263,Kolkata
570,Male,41,105739,94,10,208,Hyderabad
571,Female,31,143374,76,23,288,Mumbai
572,Male,43,77175,46,20,60,Kolkata
573,Male,25,49059,92,13,349,Delhi
574,Female,31,45448,56,22,363,Chennai
575,Male,48,102754,49,15,51,Mumbai
576,Female,19,39708,43,31,40,Delhi
577,Male,65,102549,10,32,335,Bengaluru
578,Female,21,22986,13,13,267,Bengaluru
579,Female,18,142909,57,25,329,Hyderabad
580,Female,37,133262,2,21,16,Bengaluru
581,Female,31,142767,65,4,281,Hyderabad
582,Male,57,109853,86,15,202,Kolkata
583,Female,42,72934,97,21,84,Kolkata
584,Female,42,110918,80,8,297,Hyderabad
585,Female,20,26485,42,31,65,Kolkata
586,Male,22,116040,58,10,160,Hyderabad
587,Female,55,140094,93,21,104,Mumbai
588,Male,43,144848,10,17,351,Mumbai
589,Female,57,138156,63,5,176,Bengaluru
590,Male,55,109064,71,13,54,Mumbai
591,Male,55,31772,61,21,125,Delhi
592,Female,21,95688,1,12,75,Hyderabad
593,Male,24,32531,26,25,122,Delhi
594,Female,47,77564,5,28,41,Mumbai
595,Female,47,139963,35,2,339,Kolkata
596,Female,36,115614,13,21,61,Chennai
597,Male,56,58635,27,22,135,Mumbai
598,Male,52,45919,12,2,102,Hyderabad
599,Female,57,42900,94,30,53,Chennai
600,Female,50,57394,50,1,228,Chennai
601,Male,50,55030,96,13,353,Hyderabad
602,Female,31,87950,59,3,100,Kolkata
603,Female,55,95889,31,20,317,Bengaluru
604,Female,27,35559,69,5,349,Kolkata
605,Male,45,97848,37,2,35,Kolkata
606,Male,31,47557,2,26,259,Kolkata
607,Male,53,58008,71,29,320,Mumbai
608,Female,55,34053,65,18,139,Kolkata
609,Female,33,149634,3,9,130,Kolkata
610,Female,38,61817,20,22,296,Mumbai
611,Male,45,123426,2,28,106,Kolkata
612,Female,50,24993,42,12,99,Chennai
613,Female,23,143652,43,37,262,Chennai
614,Female,58,104412,21,18,354,Hyderabad
615,Female,32,68381,45,34,21,Hyderabad
616,Male,61,93747,96,3,224,Bengaluru
617,Male,20,33515,20,5,183,Kolkata
618,Female,60,127301,43,23,340,Chennai
619,Male,64,36335,50,13,355,Mumbai
620,Male,52,78724,95,24,191,Kolkata
621,Female,31,22175,43,28,308,Hyderabad
622,Female,19,22405,97,17,293,Kolkata
623,Male,46,72515,24,6,198,Delhi
624,Female,21,27341,82,27,245,Mumbai
625,Male,43,44284,84,29,9,Kolkata
626,Female,68,48002,60,12,123,Chennai
627,Male,29,110992,32,35,32,Hyderabad
628,Female,19,80452,5,5,358,Kolkata
629,Male,34,78677,2,2,112,Hyderabad
630,Male,52,111796,26,11,212,Delhi
631,Male,27,129460,25,4,259,Bengaluru
632,Female,65,101499,50,22,277,Mumbai
633,Male,39,103525,86,1,328,Hyderabad
